temp,wind,DC
8.2,6.7,94.3
18,0.9,669.1
14.6,1.3,686.9
8.3,4,77.5
11.4,1.8,102.2
22.2,5.4,488
24.1,3.1,495.6
8,2.2,608.2
13.1,5.4,692.6
22.8,4,698.6
17.8,7.2,698.6
19.3,4,713
17,6.7,665.3
21.3,2.2,686.5
26.4,4.5,699.6
22.9,5.4,713.9
15.1,5.4,80.8
16.7,4.9,664.2
15.9,4,70.8
9.3,4.5,97.1
18.3,2.7,692.6
19.1,2.7,724.3
21,4.5,200
19.5,5.8,537.4
23.7,5.8,594.2
16.3,5.4,601.4
19,5.8,668
19.4,1.3,686.5
30.2,2.7,721.4
22.8,3.6,728.6
25.4,3.6,692.3
11.2,7.6,709.9
20.6,1.8,706.8
17.7,3.6,718.3
21.2,2.7,724.3
18.2,4.5,730.2
21.7,4.5,669.1
11.3,5.4,682.6
17.8,4,686.9
14.1,2.7,67.6
23.3,3.1,366.7
18.4,6.7,624.2
16.6,5.4,647.1
19.6,2.7,698.6
12.9,4.9,735.7
25.9,4,692.3
14.7,3.6,686.5
23,3.1,442.9
11.8,1.8,64.7
11,5.8,103.8
20.8,1.3,706.4
21.5,2.2,631.2
20.4,4.9,654.1
20.4,4.9,654.1
17.6,3.6,661.3
27.7,2.2,706.4
17.8,4.9,730.2
13.8,2.7,691.8
13.9,5.4,34
12.3,0.9,43
11.5,5.8,102.2
5.5,6.3,102.2
18.8,4.9,466.6
20.8,2.7,631.2
23.1,3.1,638.8
18.6,4.5,661.3
23,4.5,668
19.6,5.4,668
19.6,6.3,668
17.2,4.5,77.5
15.8,7.6,97.8
17.7,3.6,692.3
15.6,6.3,77.5
17.3,4.5,614.5
27.6,1.3,713.9
6.7,3.1,26.6
15.7,3.1,43
8.3,3.1,103.8
14.7,2.7,529.8
21.6,6.7,561.6
19.5,6.3,601.4
17.9,2.2,631.2
18.6,4.5,647.1
16.6,0.9,654.1
20.2,3.6,661.3
21.5,0.9,706.4
25.4,2.2,706.4
22.4,2.2,706.4
25.3,3.6,728.6
17.4,4.9,80.8
14.7,5.8,624.2
17.4,5.4,80.8
20.8,6.3,488
18.2,4.9,601.4
23.4,2.7,638.8
17.8,1.3,704.4
12.7,1.8,30.2
17.4,5.4,15.5
11.6,4.5,601.4
19.8,5.4,601.4
19.8,5.4,601.4
14.4,5.4,614.5
20.1,4,647.1
24.1,4.5,674.4
5.3,3.1,9.3
12.7,6.3,57.3
18.2,3.1,74.3
21.4,3.1,631.2
20.3,3.1,698.6
17.4,5.4,709.9
13.7,5.8,57.3
18.8,4.5,77.5
22.8,3.6,704.4
18.9,2.7,724.3
15.8,7.6,67.6
15.5,6.3,67.6
11.6,6.3,80.8
15.2,4.9,80.8
10.6,4,86.6
19.6,3.1,466.6
10.3,2.2,608.2
17.1,5.4,608.2
22.5,5.4,680.7
17.9,3.1,671.9
19.8,5.4,692.3
20.6,5.4,691.8
9,2.2,103.8
17.2,3.1,728.6
15.9,3.6,673.8
15.4,0.9,691.8
15.4,2.7,87.2
14,3.1,64.7
10.6,4.9,102.2
17.6,3.1,685.2
14.9,2.7,67.6
17.6,5.8,594.2
17.2,1.3,680.7
15.6,3.1,686.5
18,2.7,313.4
21.7,2.2,692.6
21.9,1.8,686.5
23.3,4.5,513.3
21.2,8.9,529.8
16.6,5.4,296.3
23.8,5.4,513.3
27.4,4,578.8
13.2,5.4,86.6
24.2,3.6,671.9
17.4,6.7,647.1
23.7,4.5,685.2
23.2,5.4,433.3
24.8,2.2,355.2
24.6,1.8,424.1
20.1,4.9,692.3
29.6,2.7,721.4
16.4,1.3,647.1
28.6,2.2,721.4
18.4,3.6,654.1
20.5,4,654.1
19,5.8,668
16.1,3.1,86.6
20.3,4,578.8
15.2,8.5,100.4
17.8,1.8,674.4
17.8,2.2,704.4
5.3,4.5,55
16.6,0.9,654.1
23.4,4.5,570.5
14.6,9.4,97.8
20.7,2.2,578.8
21.9,1.8,699.6
17.4,4,609.6
20.1,5.4,601.4
17.7,2.2,686.5
14.2,1.8,624.2
20.3,4.9,624.2
5.8,5.8,55.2
19.2,2.7,631.2
18.3,2.2,735.7
14.4,5.4,614.5
23.9,6.7,680.7
19.1,4,664.2
12.4,2.2,48.3
16.8,4.5,696.1
20.8,4.9,586.7
17.6,3.1,692.6
11.5,5.8,102.2
21,2.2,686.5
13.3,0.9,89.4
11.5,4,92.4
11.7,4,97.8
24.2,2.7,578.8
24.6,4.5,647.1
24.3,4,699.6
24.6,4.5,647.1
23.5,5.4,586.7
5.8,5.8,55.2
21.5,0.9,706.4
13.9,6.3,692.6
22.6,3.6,665.3
21.6,2.2,692.6
12.4,3.6,83.7
8.8,2.2,32.1
20.2,2.7,673.8
15.1,4,100.4
22.1,1.8,706.4
22.9,7.2,594.2
20.7,2.2,692.6
19.6,6.3,668
23.2,4.9,685.2
18.4,3.1,686.9
5.1,5.8,594.2
20.1,4.9,692.3
11,5.8,103.8
17,4.9,80.8
17,4.9,80.8
16.9,1.3,680.7
12.4,6.3,709.9
19.4,1.3,699.6
15.2,3.1,86.6
16.2,3.1,631.2
18.6,3.6,713.9
11,5.8,103.8
13.4,3.6,309.9
15.4,4.5,735.7
22.9,4.9,728.6
16.1,4,696.1
20.1,4.5,480.8
28.3,3.1,728.6
16.4,4,480.8
26.4,4.5,699.6
27.8,3.1,728.6
18.7,2.7,692.6
24.3,3.1,671.9
17.7,3.1,674.4
19.6,5.8,601.4
18.2,1.8,674.4
18.8,2.2,692.6
25.1,4,674.4
13.4,1.8,7.9
15.2,2.7,43.5
16.7,3.1,85.3
15.4,4,589.9
21.9,7.6,700.7
22.4,7.6,700.7
26.8,6.3,700.7
25.7,5.4,700.7
20.7,2.2,503.6
28.7,2.7,666.7
21.7,0.4,666.7
26.8,3.1,666.7
24,3.1,666.7
22.1,3.6,666.7
21.4,2.7,565.5
18.9,3.1,621.7
22.3,4,694.8
23.9,2.2,581.1
21.4,2.7,581.1
20.6,0.9,692.3
23.7,1.8,692.3
28.3,4,542
11.2,7.6,573
21.4,3.1,573
19.3,3.6,629.1
21.8,3.1,684.4
22.1,7.6,550.3
19.4,4,607.1
23.7,3.1,658.2
21,3.1,658.2
19.1,2.7,658.2
21.8,3.1,658.2
20.1,4.5,658.2
20.2,4,658.2
4.8,8.5,353.5
5.1,8,354.6
5.1,4.9,352
4.6,8.5,349.7
4.6,8.5,349.7
4.6,8.5,349.7
4.6,8.5,349.7
2.2,4.9,352.6
5.1,8.5,349.7
4.2,4,353.5
8.8,3.1,18.7
7.5,8,15.8
23.4,6.3,411.8
12.6,7.6,437.7
22.1,2.7,474.9
24.2,1.8,474.9
24.3,1.8,474.9
18.7,1.8,474.9
25.3,0.9,474.9
22.9,1.3,466.3
26.9,5.4,430.8
17.1,3.6,440.9
22.2,1.3,430.8
14.3,1.8,290.8
15.4,2.2,290.8
19.6,4.9,377.2
10.6,2.7,233.8
20.7,4.9,298.1
19.1,5.4,298.1
19.2,4.5,232.1
19.2,4.5,232.1
11.3,4.9,113.8
19,2.2,714.3
17.1,5.4,714.3
23.8,3.6,714.3
16,1.8,758.1
24.9,2.2,758.1
25.3,2.7,758.1
24.8,1.8,758.1
12.2,6.3,706.6
24.3,4.9,777.1
19.7,1.8,777.1
18.5,2.7,817.5
18.6,5.8,739.4
19.2,4.9,739.4
21.6,2.2,783.5
21.6,6.3,783.5
18.9,7.2,783.5
16.8,4,783.5
16.8,4,783.5
12.9,2.7,822.8
13.7,1.8,726.9
24.2,3.1,751.5
24.1,3.1,751.5
21.2,2.2,751.5
19.7,1.8,751.5
23.5,4,751.5
24.2,3.1,751.5
21.5,4.5,795.3
17.1,2.2,795.3
18.1,3.1,721.1
18,5.4,764
9.8,1.8,764
19.3,2.2,764
23,2.2,764
22.7,2.2,764
20.4,1.8,764
19.3,2.2,764
15.7,2.2,770.3
20.6,1.8,807.1
15.9,4.5,807.1
12.2,4.9,807.1
16.8,3.1,807.1
21.3,2.2,807.1
10.1,3.6,745.3
17.4,4.5,745.3
12.8,3.6,745.3
10.1,3.6,745.3
15.4,6.3,745.3
20.6,3.6,745.3
19.8,2.7,745.3
18.7,2.2,745.3
20.8,4.9,745.3
20.8,4.9,745.3
15.9,3.6,789.7
19.7,2.7,789.7
21.1,2.2,789.7
18.4,2.2,789.7
17.3,4,789.7
15.2,3.1,732.3
15.9,2.2,770.3
21.1,2.7,770.3
19.6,3.1,770.3
15.9,5.4,812.1
16.4,3.6,812.1
16.8,4.9,744.4
13.8,7.6,825.1
13.8,7.6,825.1
14.2,4,520.5
10.4,0.9,664.5
20.3,2.7,698.6
10.3,4,855.3
15.4,4.9,744.4
21.1,2.2,672.6
21.9,2.2,715.1
8.7,5.8,30.6
5.2,0.9,171.4
19.3,7.2,458.8
16.2,2.7,643
28.2,1.8,690
20.5,2.7,753.8
21.3,4.5,819.1
20.9,2.2,613
20.6,5.4,750.5
11.6,5.4,30.6
23.3,3.1,706.7
23.3,3.1,706.7
7.5,6.3,58.3
20.7,2.7,738.1
21.9,4,825.1
15.2,7.6,25.6
5.3,1.8,46.7
10.1,1.8,56.9
20.4,4.9,750.5
24.3,3.6,613
25.9,3.1,715.1
28,4.5,297.7
28,4.5,297.7
22.8,4,731.7
25,4,706.7
21.3,3.6,643
21.8,2.2,725.1
27.9,2.2,680.9
17,4.9,860.6
14.2,4,55
19.9,3.1,855.3
23.4,5.4,450.2
14.7,2.7,52.8
8.2,9.4,43.6
22.8,4.5,442.1
26.4,3.6,715.1
24.1,4,723.1
27.5,4.9,698.6
26.3,3.1,575.8
13.8,5.8,28.3
24.9,5.4,664.5
24.8,4,613
26.2,4.5,635.9
30.8,4.5,690
29.3,3.6,795.9
22.3,4,744.4
26.9,3.6,715.1
20.4,2.2,753.8
20.4,2.2,753.8
27.9,2.2,672.6
26.2,5.8,698.6
24.6,4,613
19.4,3.6,849.3
23.3,4,605.3
23.9,6.7,698.6
20.9,4.9,723.1
22.2,3.6,811.2
23.8,1.8,376.6
26.8,1.3,672.6
14.2,2.7,768.4
23.6,4,715.1
19.1,2.2,738.1
16.2,3.6,855.3
25.5,1.8,672.6
10.9,3.1,41.6
14.8,8,368.3
16.2,3.6,855.3
17.3,4.5,100.7
19.1,2.2,664.5
8.9,8,28.3
10.5,4,844
19.3,4.9,613
23.4,5.4,690
11.8,4.9,649.9
17.7,4,730.6
17.4,3.1,803.3
16.8,3.1,753.8
17.9,2.7,567.2
16.6,2.7,753.8
19.9,4,635.9
18.9,4.9,715.1
15.5,8,819.1
18.9,4.9,715.1
18.9,4.9,715.1
14.5,7.6,825.1
4.6,6.3,16.2
5.1,5.4,16.2
4.6,0.9,15.3
10.2,5.8,36.9
11.2,5.4,41.1
13.3,3.6,43.5
13.7,9.4,25.6
17.6,5.8,25.6
18,4,73.7
14.3,4,229
24.5,3.1,252.6
26.4,2.7,316.7
22.7,9.4,350.2
27.2,1.3,395
26.1,4,423.4
18.2,4.5,423.4
22.6,4.9,431.6
30.2,4.5,560
30.2,4.9,560
23.4,5.8,587.1
31,5.4,587.1
33.1,4,587.1
30.6,3.6,596.3
24.1,6.3,605.8
26.4,3.6,605.8
19.4,7.6,605.8
20.6,1.3,605.8
28.7,4,605.8
32.4,4.5,624.1
32.4,2.2,633.6
